entry,exit,side,ret,hours,reason,pair
2023-09-19 00:00:00+00:00,2023-09-20 07:00:00+00:00,買い,0.0030258342488336146,31.0,利確,USD/JPY
2023-09-20 11:00:00+00:00,2023-09-20 13:00:00+00:00,買い,-0.0013979012714710026,2.0,損切,USD/JPY
2023-09-20 18:00:00+00:00,2023-09-21 10:00:00+00:00,買い,-0.0019438179713321512,16.0,損切,USD/JPY
2023-09-22 06:00:00+00:00,2023-09-22 14:00:00+00:00,買い,-0.0023299237228612377,8.0,損切,USD/JPY
2023-09-26 13:00:00+00:00,2023-09-27 13:00:00+00:00,買い,0.0028943772908216372,24.0,利確,USD/JPY
2023-09-28 08:00:00+00:00,2023-09-28 12:00:00+00:00,買い,-0.001442660519451644,4.0,損切,USD/JPY
2023-09-28 12:00:00+00:00,2023-09-28 13:00:00+00:00,買い,-0.001569033794580854,1.0,損切,USD/JPY
2023-09-28 14:00:00+00:00,2023-09-29 06:00:00+00:00,買い,-0.0016973290171811261,16.0,損切,USD/JPY
2023-09-29 16:00:00+00:00,2023-10-03 14:00:00+00:00,買い,-0.002134289559579294,94.0,損切,USD/JPY
2023-10-06 20:00:00+00:00,2023-10-09 13:00:00+00:00,買い,-0.001919916070458838,65.0,損切,USD/JPY
2023-10-12 08:00:00+00:00,2023-10-12 12:00:00+00:00,買い,0.0022565823153794964,4.0,利確,USD/JPY
2023-10-13 14:00:00+00:00,2023-10-13 19:00:00+00:00,買い,-0.0014147772507671185,5.0,損切,USD/JPY
2023-10-16 06:00:00+00:00,2023-10-16 12:00:00+00:00,買い,-0.0012126543263745293,6.0,損切,USD/JPY
2023-10-16 13:00:00+00:00,2023-10-16 14:00:00+00:00,買い,-5.741937013127299e-05,1.0,利確,USD/JPY
2023-10-16 22:00:00+00:00,2023-10-17 10:00:00+00:00,買い,-0.0011846785320846042,12.0,損切,USD/JPY
2023-10-17 12:00:00+00:00,2023-10-18 03:00:00+00:00,買い,-0.0018628377138618756,15.0,損切,USD/JPY
2023-10-18 07:00:00+00:00,2023-10-18 14:00:00+00:00,買い,0.0006835684258952202,7.0,利確,USD/JPY
2023-10-18 22:00:00+00:00,2023-10-19 00:00:00+00:00,買い,-0.0012435075827295194,2.0,損切,USD/JPY
2023-10-19 01:00:00+00:00,2023-10-19 16:00:00+00:00,買い,0.0009226270108224522,15.0,利確,USD/JPY
2023-10-19 18:00:00+00:00,2023-10-20 08:00:00+00:00,買い,-0.0012796812886388786,14.0,損切,USD/JPY
2023-10-22 23:00:00+00:00,2023-10-23 15:00:00+00:00,買い,-0.0010307440290906577,16.0,損切,USD/JPY
2023-10-24 19:00:00+00:00,2023-10-25 17:00:00+00:00,買い,0.0008404653623832359,22.0,利確,USD/JPY
2023-10-26 14:00:00+00:00,2023-10-27 08:00:00+00:00,買い,-0.0019317288575772084,18.0,損切,USD/JPY
2023-10-31 08:00:00+00:00,2023-10-31 09:00:00+00:00,買い,-0.0022742871589272015,1.0,損切,USD/JPY
2023-11-01 13:00:00+00:00,2023-11-01 14:00:00+00:00,買い,-0.0019622445436408118,1.0,損切,USD/JPY
2023-11-07 12:00:00+00:00,2023-11-07 19:00:00+00:00,買い,-0.0015516887089220943,7.0,損切,USD/JPY
2023-11-07 23:00:00+00:00,2023-11-09 19:00:00+00:00,買い,0.006325773010974911,44.0,利確,USD/JPY
2023-11-13 21:00:00+00:00,2023-11-14 13:00:00+00:00,買い,-0.0013723492678511362,16.0,損切,USD/JPY
2023-11-16 00:00:00+00:00,2023-11-16 13:00:00+00:00,買い,-0.0020049556861948645,13.0,損切,USD/JPY
2023-12-05 00:00:00+00:00,2023-12-05 15:00:00+00:00,売り,0.0022053635722749545,15.0,利確,USD/JPY
2023-12-05 22:00:00+00:00,2023-12-06 11:00:00+00:00,売り,-0.002627131171051522,13.0,損切,USD/JPY
2023-12-07 02:00:00+00:00,2023-12-07 06:00:00+00:00,売り,0.004321720010106877,4.0,利確,USD/JPY
